"","StartDate","EndDate","Status","IPAddress","Progress","Durationinseconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","welcome","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","MTurkCode","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE"
"8","2018-09-10 06:45:05","2018-09-10 06:47:50","0","107.77.201.214",100,165,"1","2018-09-10 06:47:50","R_25GFGE49g3TidGx","","","","","32.778701782227","-96.821701049805","anonymous","EN","","1",5,3,2,1,6,3,2,3,5,4,3,2,6,4,3,2,3,3,1,3,5,4,2,3,2,1,3,5,4,2,"0.765","32.952","33.601","79",5,5,2,4,3,4,3,2,3,4,4,"0.982","9.018","9.836","30","1","2.9","4.384","12.302","2","2.43","3.428","3.474","2","30","0.906","10.647","11.309","4","","","","","","0","0.602","8.484","9.142","6",4,4,4,"0",3,5,5,5,4,"Great survey easy to understand ","male","",27,"english","","white","","7","","0","graddegree","$70K-$100K","0","","CF Loss","557074428",0,9.142,6,2.4,2.5,3.08333333333333,3.33333333333333,1,2,2,4,1,3,2,4,3,4,1,4,1.3,1.1,1.17424242424242,2.96969696969697,-0.1,-0.0196942974720753,-0.91005291005291,-0.890358612580835,-0.775450843513671,-1.00729713952131,0.601019941759668,0.216269168573771,1.90809815361735,1.19029059499411,1.55702214061221,0.925322433814912,"loprev","loprom","loass","loloc",1,-1.10878058802948,-1.41375823569655,-1.46349698565819,-0.0221192895167698,1
"10","2018-09-10 06:45:32","2018-09-10 06:48:01","0","99.184.97.184",100,149,"1","2018-09-10 06:48:02","R_3DqCzwvkEiDyENt","","","","","34.913192749023","-82.38500213623","anonymous","EN","","1",5,4,5,5,4,5,5,6,5,5,5,2,4,5,6,5,5,3,4,5,5,4,5,1,5,5,4,5,5,5,"1.694","35.776","39.104","39",4,4,4,2,5,1,3,2,2,4,2,"2.987","25.099","26.914","12","1","0","0","2.993","0","0","0","1.6","0","30","7.999","7.999","8.901","1","1","5.108","5.108","6.452","1","","","","","",5,5,2,"1",NA,NA,NA,NA,NA,"none","male","",31,"english","","white","","93","","0","graddegree","$70K-$100K","0","","Control","481656139",1,6.452,1,4,3.5,4.33333333333333,4.91666666666667,2,4,5,4,2,4,4,3,2,3,3,6,1.5,0.7,1.33333333333333,0.628787878787879,0.5,0.580305702527925,0.68994708994709,0.109641387419165,0.474549156486329,0.576036193812026,-1.5168598530125,NA,NA,NA,NA,NA,"hiprev","hiprom","hiass","hiloc",0,0.84061039929677,0.174094361807466,-1.4348882519482,0.651759721850847,-1
"11","2018-09-10 06:45:07","2018-09-10 06:48:06","0","12.43.88.120",100,178,"1","2018-09-10 06:48:06","R_1gLTqNjfCvgEHxg","","","","","39.915496826172","-88.891799926758","anonymous","EN","","1",2,5,3,3,1,3,3,2,6,4,4,1,2,5,3,2,5,4,6,5,5,6,4,6,4,6,3,1,6,1,"0","0","34.101","0",4,3,2,3,3,1,3,5,3,5,2,"5.096","25.862","26.724","6","1","0","0","6.106","0","0","0","4.405","0","30","1.37","7.292","7.929","2","","","","","","10","3.657","4.713","7.533","2",5,4,2,"0",1,1,1,1,1,"","male","",30,"english","","white","","65","","0","graddegree","$250K-$500K","0","","CF Loss","726889749",10,7.533,2,3,3.16666666666667,3.83333333333333,2.91666666666667,3,3,5,1,2,3,4,2,3,4,5,1,2,1.36666666666667,2.6969696969697,2.99242424242424,-0.166666666666667,-0.0863609641387418,-0.31005291005291,-0.223691945914168,-0.0254508435136707,-1.42396380618797,-1.5168598530125,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",1,-0.377758967782138,-0.355189837360541,-1.17740964855828,-0.0969947352242825,1
"13","2018-09-10 06:44:57","2018-09-10 06:48:09","0","157.131.223.7",100,191,"1","2018-09-10 06:48:10","R_2CHQRKOnCFFoKXO","","","","","37.748397827148","-122.4156036377","anonymous","EN","","1",5,1,3,4,3,5,3,5,5,2,4,4,3,5,3,4,2,2,2,5,4,3,4,2,3,3,2,5,5,2,"2.487","63.703","64.682","35",3,2,4,3,3,2,3,2,2,3,3,"3.977","26.232","27.659","11","1","0","0","2.46","0","0","0","2.202","0","30","7.438","17.863","18.862","6","8","5.989","5.989","7.123","1","","","","","",4,3,3,"0",2,2,3,2,3,"","female","",27,"english","","white","","8","","0","graddegree","$250K-$500K","0","","Control","197451108",8,7.123,1,3.6,3.33333333333333,4,4.16666666666667,4,3,4,4,3,4,3,6,5,5,4,5,0.3,0.266666666666667,1.81818181818182,0.696969696969697,0.266666666666667,0.346972369194591,0.28994708994709,-0.0570252792475014,0.141215823152996,-0.173963806187974,-0.457919955626414,-0.555514923199293,-0.357898454113614,-0.385221319834458,-0.659755144327207,0.188717075317515,"hiprev","loprom","hiass","loloc",0,0.353262652465207,-0.0905477377765371,-1.23462711597826,0.389695661874552,-1
"17","2018-09-10 06:45:49","2018-09-10 06:48:54","0","91.207.175.212",100,184,"1","2018-09-10 06:48:55","R_ufvSuRwvxWla6QN","","","","","34.049392700195","-118.26409912109","anonymous","EN","","1",5,6,5,4,2,6,5,5,5,2,4,5,6,4,5,6,4,6,5,5,6,5,4,4,2,5,5,6,2,5,"0.853","24.916","25.712","31",4,5,3,4,5,4,4,2,5,3,2,"1.205","15.885","17.215","12","1","0","0","1.709","0","0","0","1.409","0","30","1.992","15.903","17.064","4","17","2.87","2.87","3.716","1","","","","","",4,3,5,"1",NA,NA,NA,NA,NA,"","male","",28,"english","","white","","8","","0","graddegree","$40K-$70K","0","","Control","100888243",17,3.716,1,2.8,2.83333333333333,4.41666666666667,3.91666666666667,1,2,2,4,2,1,4,1,5,2,1,3,2.7,1.36666666666667,2.08333333333333,3.35606060606061,-0.0333333333333337,0.0469723691945911,-0.51005291005291,-0.557025279247501,0.557882489819663,-0.423963806187974,1.65995983914575,NA,NA,NA,NA,NA,"loprev","loprom","hiass","loloc",0,-0.621432841197919,-0.884474036528547,-0.977148512588345,0.0527561561907429,-1
"18","2018-09-10 06:45:47","2018-09-10 06:48:54","0","172.245.214.104",100,187,"1","2018-09-10 06:48:55","R_2WT4CNCd3ZRut8l","","","","","41.103393554688","-104.90589904785","anonymous","EN","","1",5,5,6,5,4,5,5,5,4,4,5,4,4,5,5,4,4,4,3,5,4,4,3,2,4,4,2,4,5,4,"2.787","25.899","26.626","34",1,4,4,3,4,2,4,2,4,4,2,"2.503","24.6","25.3","17","1","0","0","6.666","0","0","0","6.048","0","30","4.633","11.428","12.345","3","50","4.704","4.704","5.415","1","","","","","",3,5,3,"0",1,3,5,5,5,"","male","",33,"english","","white","","8","","0","graddegree","$100K-$250K","0","","Control","929149072",50,5.415,1,3.4,3.83333333333333,4.16666666666667,4.5,2,3,4,4,5,2,4,2,3,5,3,5,0.8,0.966666666666667,1.06060606060606,0.636363636363636,-0.433333333333334,-0.353027630805409,0.0899470899470898,0.442974720752499,0.307882489819663,0.159369527145359,-0.457919955626414,-1.32729901497236,0.397433748463374,1.19029059499411,1.55702214061221,1.66192779231231,"hiprev","hiprom","hiass","hiloc",0,0.109588779049425,0.703378560975473,-0.033060300158641,-0.396496518054335,-1
"20","2018-09-10 06:45:48","2018-09-10 06:48:59","0","173.79.146.252",100,190,"1","2018-09-10 06:48:59","R_wUjBU4A2b9lrksN","","","","","38.743804931641","-77.233299255371","anonymous","EN","","1",5,2,2,4,5,5,4,4,4,3,3,3,5,3,4,3,2,3,4,2,2,2,3,2,1,1,2,1,2,2,"6.871","57.538","58.864","34",3,3,3,3,3,4,4,3,4,4,4,"6.237","18.726","21.076","11","1","0","0","6.187","0","0","0","4.698","0","30","2.42","9.159","10.02","3","","","","","","0","2.58","2.58","3.591","1",5,5,3,"0",1,1,1,1,1,"Thanks","male","",28,"english","","white","","100","","0","somecollege","$250K-$500K","0","","CF Loss","327970579",0,3.591,1,2.8,3,3.66666666666667,3,3,3,2,3,3,2,2,5,4,5,2,5,0.2,0.8,1.33333333333333,2.36363636363636,-0.2,-0.119694297472075,-0.51005291005291,-0.390358612580835,-0.192117510180338,-1.34063047285464,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",1,-0.621432841197919,-0.619831936944544,-1.46349698565819,-0.134432458078039,1
"21","2018-09-10 06:46:57","2018-09-10 06:49:03","0","131.204.254.84",100,126,"1","2018-09-10 06:49:03","R_3NIp3cUTYfwzVYO","","","","","32.602005004883","-85.486999511719","anonymous","EN","","1",5,4,4,5,4,3,4,4,5,4,3,3,4,3,5,4,5,5,3,4,3,3,4,5,5,5,4,3,4,4,"1.366","15.29","15.724","32",3,4,2,3,2,3,2,3,2,2,3,"0.914","13.548","14.136","12","1","0","0","1.578","0","1.071","1.071","4.14","1","30","3.968","12.694","13.479","5","0","2.81","3.314","4.293","2","","","","","",5,5,3,"0",1,1,1,1,1,"","male","",22,"english","","black","","3","","1","associates","$40K-$70K","0","","Control","161362038",0,4.293,2,2.6,2.66666666666667,3.58333333333333,3.83333333333333,2,3,3,3,3,4,3,3,3,3,3,2,0.3,0.666666666666667,0.628787878787879,0.878787878787879,-0.0666666666666664,0.0136390358612583,-0.71005291005291,-0.723691945914168,-0.275450843513671,-0.507297139521307,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","loprom","loass","loloc",0,-0.865106714613701,-1.14911613611255,-1.46349698565819,0.015318433336987,-1
"24","2018-09-10 06:45:44","2018-09-10 06:49:17","0","12.156.143.6",100,212,"1","2018-09-10 06:49:17","R_2eUnnoizawEYjxj","","","","","35.477996826172","-120.48910522461","anonymous","EN","","1",3,2,3,4,3,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,4,5,"3.697","22.246","23.624","59",3,3,2,2,2,3,4,3,3,2,3,"2.67","10.446","11.377","11","1","1.477","1.477","1.947","1","0","0","1.009","0","30","0.714","7.747","8.014","4","","","","","","47","1.852","2.538","4.591","2",3,3,3,"0",3,3,3,2,2,"","male","",23,"english","","white","","8","","0","somecollege","$10K-$20K","0","","CF Loss","710344246",47,4.591,2,3,2.83333333333333,3.75,3.58333333333333,3,4,3,3,3,3,3,5,3,2,4,3,0.5,0.566666666666667,0.75,0.446969696969697,0.166666666666667,0.246972369194591,-0.31005291005291,-0.557025279247501,-0.108784176847004,-0.757297139521307,-0.457919955626414,0.216269168573771,0.397433748463374,-0.385221319834458,-0.659755144327207,-0.547888283179883,"loprev","loprom","loass","loloc",1,-0.377758967782138,-0.884474036528547,-0.118886501288614,0.277382493313282,1
"26","2018-09-10 06:45:07","2018-09-10 06:49:17","0","174.85.255.66",100,250,"1","2018-09-10 06:49:18","R_3Ht3H7YI4s2zzj5","","","","","34.767501831055","-87.105697631836","anonymous","EN","","1",3,2,4,4,3,5,2,3,3,2,4,4,4,3,5,2,2,4,3,5,5,4,5,2,3,2,2,4,3,5,"1.106","22.785","24.663","34",2,4,2,4,2,3,2,4,3,2,2,"0.991","27.672","28.622","14","1","5.03","16.666","17.807","7","4.718","9.083","10","2","30","7.142","18.991","19.709","4","","","","","","30","16.877","16.877","27.362","1",4,5,4,"0",2,2,4,3,4,"","female","",23,"english","","multi","","3","","0","associates","$20K-$40K","0","","CF Loss","159106331",30,27.362,1,2.2,2.83333333333333,4.25,3.5,2,2,3,2,4,3,4,5,5,5,3,5,0.2,0.966666666666667,1.11363636363636,0.818181818181818,-0.633333333333333,-0.553027630805409,-1.11005291005291,-0.557025279247501,0.391215823152996,-0.840630472854641,0.601019941759668,-0.555514923199293,-0.357898454113614,0.402534637579827,0.0791706173192649,0.925322433814912,"loprev","loprom","hiass","loloc",1,-1.35245446144526,-0.884474036528547,-0.605234974358462,-0.621122855176873,1
