"","StartDate","EndDate","Progress","Durationinseconds","Finished","ResponseId","UserLanguage","accept","rmq_1","rmq_2","rmq_3","rmq_4","rmq_5","rmq_6","rmq_7","rmq_8","rmq_9","rmq_10","rmq_11","rmq_12","rmq_13","rmq_14","rmq_15","rmq_16","rmq_17","rmq_18","rmq_19","rmq_20","rmq_21","rmq_22","rmq_23","rmq_24","rmq_25","rmq_26","rmq_27","rmq_28","rmq_29","rmq_30","rmq_timer_FirstClick","rmq_timer_LastClick","rmq_timer_PageSubmit","rmq_timer_ClickCount","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","rfq__timer_FirstClick","rfq__timer_LastClick","rfq__timer_PageSubmit","rfq__timer_ClickCount","digivest_accept","digivest_app_timer_FirstClick","digivest_app_timer_LastClick","digivest_app_timer_PageSubmit","digivest_app_timer_ClickCount","digivest_test_timer_FirstClick","digivest_test_timer_LastClick","digivest_test_timer_PageSubmit","digivest_test_timer_ClickCount","digivest_use_1","digivest_use_timer_FirstClick","digivest_use_timer_LastClick","digivest_use_timer_PageSubmit","digivest_use_timer_ClickCount","bit_ctr_1","bit_timer_FirstClick","bit_timer_LastClick","bit_timer_PageSubmit","bit_timer_ClickCount","bit_cfl_11","bit_timer_FirstClick1","bit_timer_LastClick1","bit_timer_PageSubmit1","bit_timer_ClickCount1","easy","clear","perfaffected","previnvested","missedout","regret","investearlier","happier","relieved","bit_perf_text","gender","gender_3_TEXT","age","language","language_3_TEXT","ethnicity","ethnicity_7_TEXT","location","location_2_TEXT","student","education","income","heard_test","told_test","condition","allo","allo_timer","allo_clicks","prev","prom","ass","loc","rfq_2r","rfq_4r","rfq_6r","rfq_8r","rfq_1r","rfq_9r","rfq_11r","rmq_2r","rmq_10r","rmq_27r","rmq_13r","rmq_24r","prev.var","prom.var","ass.var","loc.var","prevdom","prevdomc","premc","promc","amc","lmc","perfaffected.s","missedout.s","regret.s","investearlier.s","happier.s","relieved.s","hiloprev","hiloprom","hiloass","hiloloc","condD","premc.s","promc.s","allo.s","prevdomc.s","condE","countryCode","countryName","asn","isp","block","hostname","block12","block.d"
"1","2018-09-10 06:45:47","2018-09-10 06:55:36",100,589,"1","R_1N9sUnG8lKHm7Nw","EN","1",6,2,1,6,5,4,5,5,5,2,4,1,3,1,4,5,1,2,4,3,4,2,1,2,4,1,2,4,4,5,"9.898","169.882","170.313","31",3,3,4,2,4,2,4,3,3,4,4,"12.816","89.239","90.51","12","1","0","0","27.942","0","0","0","26.028","0","30","41.44","41.44","42.631","1","","","","","","40","31.865","31.865","32.853","1",4,5,2,"1",NA,NA,NA,NA,NA,"","female","",44,"english","","white","","10","","0","associates","$250K-$500K","0","","CF Loss",40,32.853,1,3.6,3.33333333333333,4.25,4.41666666666667,3,4,4,3,3,3,2,5,5,5,4,5,0.3,0.666666666666667,0.931818181818182,1.71969696969697,0.266666666666667,0.346972369194591,0.28994708994709,-0.0570252792475014,0.391215823152996,0.0760361938120262,-1.5168598530125,NA,NA,NA,NA,NA,"hiprev","loprom","hiass","loloc",1,0.353262652465207,-0.0905477377765371,-0.319147637258551,0.389695661874552,1,"US","United States","701","UUNET",0,"100.11.32.82",0,0
"2","2018-09-10 06:50:57","2018-09-10 06:56:10",100,313,"1","R_1GObp728I6LxFkM","EN","1",4,2,2,5,4,2,3,3,5,3,4,1,5,5,5,3,3,2,4,4,2,3,3,5,4,2,3,3,3,5,"4.371","83.105","84.137","32",2,3,2,3,4,3,4,3,5,2,4,"5.32","28.972","30.304","11","1","0","0","11.521","0","0","0","14.614","0","30","8.271","11.937","12.823","3","","","","","","100","7.83","9.21","10.913","2",4,5,4,"0",4,4,5,5,5,"","male","",26,"english","","white","","90","","0","graddegree","$10K-$20K","0","","CF Loss",100,10.913,2,3.2,2.5,4,3.08333333333333,3,3,3,3,4,1,2,5,4,4,2,2,0.2,1.5,0.909090909090909,0.992424242424242,0.7,0.780305702527925,-0.11005291005291,-0.890358612580835,0.141215823152996,-1.25729713952131,0.601019941759668,0.988053260346834,1.15276595104036,1.19029059499411,1.55702214061221,1.66192779231231,"loprev","loprom","hiass","loloc",1,-0.134085094366356,-1.41375823569655,1.39737638534091,0.876386058973386,1,"US","United States","701","UUNET",0,"100.6.127.114",0,0
"6","2018-09-10 06:45:54","2018-09-10 07:11:50",100,1556,"1","R_6LMOlN1Bu7zSbaF","EN","1",6,5,5,3,5,5,4,5,1,3,1,2,6,6,2,2,5,4,1,2,4,3,5,2,5,2,2,6,5,5,"22","587.931","590.428","38",2,3,4,1,3,1,4,1,3,5,4,"1.613","369.298","370.364","19","1","0","0","12.479","0","0","0","4.566","0","30","12.691","21.866","26.957","5","100","40.532","40.532","50.133","1","","","","","",5,4,4,"0",2,1,4,5,3,"Good Study about the investment of Bitcoin Investments and research","male","",32,"english","","asian","","9","","0","doctorate","$250K-$500K","0","","Control",100,50.133,1,4.2,3.66666666666667,2.91666666666667,4.33333333333333,3,5,5,5,4,3,2,2,4,5,1,5,1.2,1.06666666666667,2.62878787878788,2.42424242424242,0.533333333333334,0.613639035861258,0.88994708994709,0.276308054085832,-0.942117510180338,-0.00729713952130773,0.601019941759668,-0.555514923199293,-1.1132306566906,0.402534637579827,1.55702214061221,0.188717075317515,"hiprev","hiprom","loass","loloc",0,1.08428427271255,0.438736461391469,1.39737638534091,0.689197444704604,-1,"US","United States","396949","AS396949",0,"104.129.131.232",0,0
"9","2018-09-10 06:46:39","2018-09-10 06:56:56",100,616,"1","R_cUU4d9diwHqMPbH","EN","1",5,2,5,6,6,5,3,5,4,3,4,1,2,2,3,4,3,3,5,4,5,3,2,2,5,3,1,4,5,3,"5.779","132.325","133.611","33",2,2,4,2,4,3,5,2,2,4,2,"3.23","73.66","75.239","20","1","2.511","28.193","31.753","18","4.187","17.108","21.769","15","30","4.045","30.903","33.44","15","","","","","","75","2.258","32.445","33.335","8",5,5,4,"0",1,1,1,1,1,"None at this time.","male","",27,"english","","hispanic","","8","","0","associates","$100K-$250K","0","","CF Loss",75,33.335,8,3.8,4.16666666666667,4.08333333333333,5,4,4,3,4,4,4,4,5,4,6,5,5,0.2,0.166666666666667,0.992424242424242,0.363636363636364,-0.366666666666667,-0.286360964138742,0.48994708994709,0.776308054085832,0.224549156486329,0.659369527145359,0.601019941759668,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","hiprom","hiass","hiloc",1,0.596936525880988,1.23266276014348,0.682158042591135,-0.321621072346822,1,"US","United States","22616","ZSCALER-SJC1",0,"104.129.198.140",0,0
"14","2018-09-10 06:45:53","2018-09-10 06:57:55",100,721,"1","R_1nVJ92HnlcXjdNv","EN","1",5,2,2,5,4,4,2,5,4,4,5,1,3,1,3,4,2,1,4,4,2,5,1,5,4,2,4,4,4,4,"9.195","112.877","114.026","34",3,1,4,4,4,2,2,5,3,3,3,"6.231","159.377","161.772","38","1","3.099","9.484","151.445","10","6.638","10.613","14.377","5","30","8.014","19.205","20.994","10","41","2.73","17.754","19.202","7","","","","","",2,4,4,"0",2,2,2,3,2,"","female","",36,"english","","black","","84","","0","graddegree","$70K-$100K","0","","Control",41,19.202,7,3.2,3,3.83333333333333,3.75,5,2,4,1,3,3,3,5,3,3,4,2,2.7,0.4,0.878787878787879,1.29545454545455,0.2,0.280305702527925,-0.11005291005291,-0.390358612580835,-0.0254508435136707,-0.590630472854641,0.601019941759668,-0.555514923199293,-0.357898454113614,-1.17297727724874,0.0791706173192649,-0.547888283179883,"loprev","loprom","loass","loloc",0,-0.134085094366356,-0.619831936944544,-0.29053890354856,0.314820216167039,-1,"US","United States","11426","SCRR-11426",0,"104.139.95.47",0,0
"16","2018-09-10 06:45:30","2018-09-10 06:57:38",100,727,"1","R_3dU0hBbJpWUIjPr","EN","1",5,5,2,6,5,2,3,5,2,5,4,1,4,3,5,4,5,5,2,4,4,3,4,1,4,2,5,5,4,3,"7.158","133.612","134.401","33",4,1,4,1,5,1,4,1,2,4,1,"7.367","51.231","53.101","11","1","0","0","44.529","0","0","0","29.078","0","30","28.669","28.669","30.516","1","","","","","","25","33.947","33.947","63.914","1",5,5,4,"0",3,1,4,3,2,"","female","",45,"english","","white","","87","","0","bachelors","$70K-$100K","0","","CF Loss",25,63.914,1,5,3.83333333333333,2.83333333333333,4.41666666666667,5,5,5,5,2,4,5,2,2,2,3,6,0,0.966666666666667,1.06060606060606,1.35606060606061,1.16666666666667,1.24697236919459,1.68994708994709,0.442974720752499,-1.02545084351367,0.0760361938120262,0.601019941759668,0.216269168573771,-1.1132306566906,0.402534637579827,0.0791706173192649,-0.547888283179883,"hiprev","hiprom","loass","loloc",1,2.05897976637568,0.703378560975473,-0.748278642908417,1.40051417892598,1,"US","United States","7018","ATT-INTERNET4",0,"104.15.198.42",0,0
"26","2018-09-10 06:45:39","2018-09-10 07:00:14",100,874,"1","R_1QbigRueEJWEwkD","EN","1",5,2,6,5,5,5,2,6,2,6,6,3,2,2,3,5,5,1,6,6,6,6,1,3,6,2,2,4,6,5,"4.411","247.852","284.528","37",4,4,4,5,1,5,3,5,2,4,1,"2.981","94.309","96.601","13","1","0","0","9.55","0","0","0","38.356","0","30","2.143","10.573","11.792","3","100","9.358","9.358","10.366","1","","","","","",4,4,4,"0",4,2,4,4,3,"","female","",21,"english","","white","","90","","1","associates","$20K-$40K","0","","Control",100,10.366,1,1.2,3.66666666666667,4.33333333333333,5.25,2,1,1,1,2,4,5,5,1,5,5,4,0.2,1.06666666666667,3.33333333333333,0.568181818181818,-2.46666666666667,-2.38636096413874,-2.11005291005291,0.276308054085832,0.474549156486329,0.909369527145359,0.601019941759668,0.988053260346834,-0.357898454113614,0.402534637579827,0.818096378965737,0.188717075317515,"loprev","hiprom","hiass","hiloc",0,-2.57082382852417,0.438736461391469,1.39737638534091,-2.68019761213348,-1,"US","United States","29848","WCU",0,"104.201.210.179",0,0
"37","2018-09-10 06:45:10","2018-09-10 06:53:52",100,522,"1","R_aa923MTXWNJZ8Ln","EN","1",1,1,1,3,4,3,4,2,5,4,5,1,2,2,3,3,2,2,5,5,4,4,2,2,5,3,1,5,2,4,"2.539","195.287","197.844","53",1,3,3,3,2,2,3,4,4,3,4,"23.843","58.74","59.51","13","1","3.937","3.937","4.686","1","0","0","1.931","0","30","7.966","7.966","8.948","1","100","22.124","22.633","23.035","2","","","","","",2,5,3,"0",1,1,1,1,1,"","female","",39,"english","","black","","3","","0","somecollege","$70K-$100K","0","","Control",100,23.035,2,2.8,3,4.41666666666667,3.33333333333333,3,3,4,2,5,2,2,6,3,6,5,5,0.7,1.2,1.17424242424242,2.42424242424242,-0.2,-0.119694297472075,-0.51005291005291,-0.390358612580835,0.557882489819663,-1.00729713952131,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"loprev","loprom","hiass","loloc",0,-0.621432841197919,-0.619831936944544,1.39737638534091,-0.134432458078039,-1,"US","United States","14869","USTCONLINE",0,"104.244.146.67",0,0
"60","2018-09-10 06:48:55","2018-09-10 07:01:03",100,727,"1","R_1f9LFSAx9ccSD94","EN","1",2,5,1,1,2,1,1,1,1,5,2,1,1,1,1,2,2,5,1,1,2,1,2,5,2,1,6,5,5,1,"32.967","190.472","192.287","38",4,1,3,1,5,1,3,1,2,3,1,"20.657","97.178","104.751","20","1","3.496","47.499","88.245","4","6.141","6.141","8.207","1","30","3.34","8.701","10.598","3","0","31.237","33.801","34.692","4","","","","","",5,5,3,"0",1,1,1,1,1,"","male","",30,"english","","white","","13","","0","bachelors","$70K-$100K","0","","Control",0,34.692,4,5,3.33333333333333,1.25,2.58333333333333,5,5,5,5,2,4,5,2,2,1,6,2,0,1.06666666666667,0.204545454545455,2.99242424242424,1.66666666666667,1.74697236919459,1.68994708994709,-0.0570252792475014,-2.608784176847,-1.75729713952131,-0.457919955626414,-1.32729901497236,-1.1132306566906,-1.96073323466303,-1.39868090597368,-1.28449364167728,"hiprev","loprom","loass","loloc",0,2.05897976637568,-0.0905477377765371,-1.46349698565819,1.96208002173232,-1,"US","United States","7018","ATT-INTERNET4",0,"107.195.14.24",0,0
"62","2018-09-10 06:49:15","2018-09-10 06:55:35",100,379,"1","R_2Qfyt0407N9hexv","EN","1",6,6,5,6,5,5,6,5,1,6,1,1,1,2,6,6,6,1,1,1,6,1,6,1,6,1,1,6,6,6,"1.135","95.022","95.858","81",1,1,5,1,5,1,5,1,1,5,1,"32.274","58.818","59.659","45","1","1.869","14.647","16.515","8","2.989","17.254","20.2","3","30","2.144","19.641","20.866","10","","","","","","25","1.423","6.339","10.019","5",4,4,3,"1",NA,NA,NA,NA,NA,"","female","",45,"english","","white","","90","","1","graddegree","$70K-$100K","0","","CF Loss",25,10.019,5,5,5,3,5.75,5,5,5,5,5,5,5,1,1,6,6,6,0,0,6.18181818181818,0.204545454545455,0,0.0803057025279248,1.68994708994709,1.60964138741917,-0.858784176847004,1.40936952714536,-0.457919955626414,NA,NA,NA,NA,NA,"hiprev","hiprom","loass","hiloc",1,2.05897976637568,2.5558732580635,-0.748278642908417,0.0901938790444998,1,"US","United States","20057","ATT-MOBILITY-LLC-AS20057",0,"107.242.117.12",0,0
